variant_id,Produsent,Modell,aar_fra,aar_til,batteri_kwh,rekkevidde_typisk,aliases,kommentar
renault-zoe-22,Renault,Zoe,2013,2016,22.0,150,22 kWh|22kWh|R90|Q90,Foerste batteri
renault-zoe-41,Renault,Zoe,2017,2019,41.0,300,40 kWh|41 kWh|R110|Q90 ZE40,Mellombatteri
renault-zoe-52,Renault,Zoe,2020,2099,52.0,395,52 kWh|52kWh|R135|ZE50|Intens|Iconic,Stort batteri
renault-megane-40,Renault,Megane E-Tech,2022,2099,40.0,300,EV40|40 kWh|40kWh,Lite batteri
renault-megane-60,Renault,Megane E-Tech,2022,2099,60.0,470,EV60|60 kWh|60kWh|Iconic|Techno,Stort batteri
cupra-born-58,Cupra,Born,2021,2099,58.0,420,58 kWh|58kWh,Mellombatteri
cupra-born-77,Cupra,Born,2021,2099,77.0,548,77 kWh|77kWh|e-Boost,Stort batteri
porsche-taycan-79,Porsche,Taycan,2019,2099,79.2,431,Performance Battery|79 kWh|79kWh|Taycan 4|Taycan RWD,Standard batteri
porsche-taycan-93,Porsche,Taycan,2019,2099,93.4,505,Performance Battery Plus|93 kWh|93kWh|4S|Turbo|Turbo S|GTS,Stort batteri
byd-atto3,BYD,Atto 3,2022,2099,60.5,420,Atto 3|Design|Comfort,Eneste variant
byd-tang,BYD,Tang,2022,2099,86.4,400,Tang|Design,Eneste variant
byd-han,BYD,Han,2022,2099,85.4,521,Han|Design|Excellence,Eneste variant
byd-dolphin-44,BYD,Dolphin,2023,2099,44.9,340,Active|Comfort|44 kWh|44kWh,Lite batteri
byd-dolphin-60,BYD,Dolphin,2023,2099,60.5,427,Design|60 kWh|60kWh,Stort batteri
byd-seal-61,BYD,Seal,2023,2099,61.4,460,Design|Comfort,Standard
byd-seal-82,BYD,Seal,2023,2099,82.5,570,Excellence|AWD|Performance,Stort batteri / AWD
xpeng-g9-78,Xpeng,G9,2024,2099,78.2,460,78 kWh|78kWh|Standard Range|RWD,Standard
xpeng-g9-98,Xpeng,G9,2024,2099,98.0,570,98 kWh|98kWh|Long Range|Performance|AWD,Stort batteri
xpeng-p7-66,Xpeng,P7,2022,2099,66.0,460,66 kWh|66kWh|Standard|RWD,Standard
xpeng-p7-83,Xpeng,P7,2022,2099,82.7,576,83 kWh|82 kWh|Long Range|Wing|AWD,Stort batteri
vw-egolf-24,Volkswagen,Golf,2014,2016,24.2,190,e-Golf|24 kWh|24kWh,e-Golf foerste generasjon
vw-egolf-36,Volkswagen,Golf,2017,2020,35.8,300,e-Golf|36 kWh|36kWh|Comfortline|Highline,e-Golf andre generasjon
vw-egolf-36-serie,Volkswagen,Golf-Serie,2017,2020,35.8,300,e-Golf|36 kWh|36kWh,e-Golf under Golf-Serie
toyota-bz4x-fwd,Toyota,bZ4X,2022,2099,71.4,516,FWD|Active|Executive|Style,Forhjulsdrift
toyota-bz4x-awd,Toyota,bZ4X,2022,2099,71.4,460,AWD|4x4|X-Mode|Executive AWD,Firehjulsdrift
jaguar-ipace,Jaguar,I-PACE,2018,2099,90.0,470,I-PACE|EV400|HSE|SE|First Edition|R-Dynamic,Eneste batterivariant
kia-soul-27,Kia,Soul,2014,2017,27.0,160,27 kWh|27kWh,Foerste generasjon
kia-soul-30,Kia,Soul,2015,2018,30.0,180,30 kWh|30kWh,Foerste generasjon stoerre batteri
kia-soul-39,Kia,Soul,2019,2024,39.2,276,39 kWh|39kWh,Andre generasjon Standard
kia-soul-64,Kia,Soul,2019,2024,64.0,452,64 kWh|64kWh|Long Range,Andre generasjon Long Range
kia-esoul-39,Kia,e-Soul,2019,2024,39.2,276,39 kWh|39kWh,Andre generasjon Standard
kia-esoul-64,Kia,e-Soul,2019,2024,64.0,452,64 kWh|64kWh|Long Range,Andre generasjon Long Range
peugeot-e2008-50,Peugeot,e-2008,2020,2023,50.0,320,50 kWh|50kWh|GT|Active|Allure,Foerste generasjon
peugeot-e2008-51,Peugeot,e-2008,2024,2099,51.0,406,51 kWh|51kWh|GT|Active|Allure,Refresh 2024
peugeot-208-50,Peugeot,208,2020,2023,50.0,340,e-208|50 kWh|50kWh|GT|Active|Allure,e-208 under Peugeot 208 i annonser
peugeot-208-51,Peugeot,208,2024,2099,51.0,410,e-208|51 kWh|51kWh|GT|Active|Allure,Refresh 2024
hyundai-ioniq-28,Hyundai,IONIQ,2016,2019,28.0,200,28 kWh|28kWh|Electric|Plus,Foerste IONIQ Electric
hyundai-ioniq-38,Hyundai,IONIQ,2020,2022,38.3,311,38 kWh|38kWh|Electric|Premium|Teknikk,Refresh av foerste generasjon
vw-idbuzz-77,Volkswagen,ID. Buzz,2022,2099,77.0,420,77 kWh|77kWh|Pro|Cargo,Standard hjulbase
vw-idbuzz-86,Volkswagen,ID. Buzz,2024,2099,86.0,460,86 kWh|86kWh|GTX|Pro S|Tour|LWB|Lang,Stort batteri / lang hjulbase
mazda-mx30,Mazda,MX-30,2020,2099,35.5,200,MX-30|35 kWh|35kWh|First Edition|GT Sport,Eneste batterivariant
nissan-ariya-63,Nissan,Ariya,2022,2099,63.0,403,63 kWh|63kWh|Advance|Engage|Evolve,Standard batteri
nissan-ariya-87,Nissan,Ariya,2022,2099,87.0,533,87 kWh|87kWh|Long Range|Evolve+|e-4ORCE|Performance|AWD,Stort batteri
citroen-ec4-50,Citroen,E-C4,2021,2099,50.0,357,50 kWh|50kWh|Shine|Feel,Eneste variant
vw-eup-18,Volkswagen,UP!,2014,2020,18.7,160,e-Up|18 kWh|18kWh,e-Up foerste batteri
vw-eup-37,Volkswagen,UP!,2020,2024,36.8,260,e-Up|36 kWh|36kWh|37 kWh|37kWh,e-Up stort batteri
mg-marvelr,MG,Marvel R,2021,2099,70.0,402,Marvel R|RWD|AWD|Luxury|Performance,Eneste batterivariant
toyota-proace-50,Toyota,Proace,2021,2099,50.0,230,50 kWh|50kWh|Active|Style,Standard
toyota-proace-75,Toyota,Proace,2021,2099,75.0,329,75 kWh|75kWh|Long Range|Active|Style,Long Range
bmw-ix1,BMW,iX1,2022,2099,64.7,438,iX1|xDrive30|eDrive20,Eneste batterivariant
porsche-macan-95,Porsche,Macan,2024,2099,95.0,613,Macan 4|Macan Turbo|Macan 4S|Electric,Elektrisk Macan
kia-niro-bare,Kia,Niro,2018,2099,64.0,455,EV|64 kWh|64kWh|Long Range,Niro EV i annonser uten 'EV' suffix
opel-mokka-50,Opel,Mokka,2021,2023,50.0,338,Mokka-e|50 kWh|50kWh|GS|Elegance,e-versjon under Mokka
opel-mokka-54,Opel,Mokka,2024,2099,54.0,406,Mokka Electric|54 kWh|54kWh|GS|Edition,Refresh 2024
ford-explorer-52,Ford,Explorer,2024,2099,52.0,374,Standard Range|52 kWh|52kWh,Standard
ford-explorer-77,Ford,Explorer,2024,2099,77.0,602,Premium|Extended Range|RWD|AWD|77 kWh|77kWh,Extended Range
kia-ev3-58,Kia,EV3,2024,2099,58.3,436,Standard|Air|Earth|58 kWh|58kWh,Standard
kia-ev3-81,Kia,EV3,2024,2099,81.4,605,Long Range|81 kWh|81kWh|LR|GT-Line,Long Range
kia-ev9-76,Kia,EV9,2024,2099,76.1,443,Standard|Air|76 kWh|76kWh,Standard
kia-ev9-99-rwd,Kia,EV9,2024,2099,99.8,541,Long Range|GT-Line|99 kWh|99kWh|LR|RWD|Earth,Long Range RWD
kia-ev9-99-awd,Kia,EV9,2024,2099,99.8,505,GT|AWD|GT-Line AWD|Performance|4WD,Long Range AWD
hongqi-ehs9,Hongqi,E-HS9,2022,2099,99.0,460,84 kWh|99 kWh|Executive|Plus,Eneste variant
nissan-env200-24,Nissan,e-NV200,2014,2022,24.0,170,24 kWh|24kWh|Combi|Visia,Standard
nissan-env200-40,Nissan,e-NV200,2018,2022,40.0,200,40 kWh|40kWh|Tekna|Combi,Stort batteri
fiat-500-24,Fiat,500,2020,2099,23.8,180,24 kWh|24kWh|Action|Standard Range,Standard
fiat-500-42,Fiat,500,2020,2099,42.0,320,42 kWh|42kWh|Icon|La Prima|Passion,Long Range
opel-corsa-50,Opel,Corsa,2020,2023,50.0,330,Corsa-e|50 kWh|50kWh|GS|Elegance,e-versjon
opel-corsa-51,Opel,Corsa,2024,2099,51.0,402,Corsa Electric|51 kWh|51kWh|GS|Edition,Refresh
lexus-ux,Lexus,UX,2020,2099,72.8,450,UX 300e|72 kWh|72kWh,Eneste variant
polestar4-94,Polestar,4,2024,2099,94.0,610,Long Range Single Motor|94 kWh|94kWh,Long Range Single
polestar4-100,Polestar,4,2024,2099,100.0,580,Performance|Long Range Dual Motor|100 kWh|100kWh,Long Range Dual / Performance
volvo-ex40-79,Volvo,EX40,2024,2099,79.0,565,Single Motor|Extended Range|79 kWh|79kWh,Standard - rebrand av XC40
volvo-ex40-82,Volvo,EX40,2024,2099,82.0,503,Twin|Twin Motor|Performance|AWD|82 kWh|82kWh,Twin Motor
volvo-ex90-111,Volvo,EX90,2024,2099,111.0,629,Twin Motor|Plus|Ultra|Single Motor|111 kWh|111kWh,Stort batteri
ford-f150-98,Ford,F-serie,2022,2099,98.0,386,F-150|Lightning|Standard Range|98 kWh|98kWh,F-150 Lightning Standard
ford-f150-131,Ford,F-serie,2022,2099,131.0,515,Extended Range|Lariat|Platinum|131 kWh|131kWh,F-150 Lightning Extended
mg-mg5-50,MG,MG5,2022,2099,50.3,320,Standard|Comfort|50 kWh|50kWh,Standard
mg-mg5-61,MG,MG5,2022,2099,61.1,400,Luxury|Long Range|61 kWh|61kWh,Long Range
polestar3-107,Polestar,3,2024,2099,107.0,610,Long Range Single Motor|Long Range Dual Motor|107 kWh|107kWh,Standard
polestar3-111,Polestar,3,2024,2099,111.0,560,Performance|111 kWh|111kWh,Performance
byd-atto3-alt,BYD,Atto3,2022,2099,60.5,420,Atto3|Design|Comfort,Alternativ stavemaate uten space
renault-megane-bare-40,Renault,Megane,2022,2099,40.0,300,EV40|40 kWh|40kWh|E-Tech 40,Standard - 'Megane' uten E-Tech
renault-megane-bare-60,Renault,Megane,2022,2099,60.0,470,EV60|60 kWh|60kWh|Iconic|Techno|E-Tech 60,Stort batteri
mercedes-b250e,Mercedes-Benz,B-Klasse,2014,2018,28.0,200,B250e|B 250 e|Electric Drive,Elektrisk B-Klasse
audi-q4-77-rwd,Audi,Q4 e-tron,2021,2099,77.0,528,40|45|RWD|Sportback 40|Sportback 45,77 kWh bakhjulsdrift
audi-q4-77-awd,Audi,Q4 e-tron,2021,2099,77.0,488,50|55|quattro|Sportback 50|Sportback 55,77 kWh quattro
skoda-enyaq-62,Skoda,Enyaq,2021,2099,62.0,412,60|60 iV|Enyaq 60,Mellombatteri (manglet i forrige katalog)
polestar2-sr-lfp,Polestar,2,2020,2023,64.0,460,LFP|Single Motor|Standard Range|64 kWh|64kWh,Tidlig SR med LFP-celler
polestar2-sr-nmc,Polestar,2,2024,2099,69.0,520,Single Motor|Long Range Single Motor|69 kWh|69kWh,2024 refresh av SR (NMC)
